LevelOfTrust;ScanTimeInSeconds;TotalBasketValue;ScannedProducts;CountOfVoidedScans;ActivateWithoutScan;ModifiedQuantities
4;1320;37.84;21;10;2;1
2;1130;84.58;30;4;5;4
1;896;82.69;17;6;9;2
5;1046;78.68;8;10;4;1
1;1233;5.18;4;9;8;3
1;382;15.14;5;2;0;2
4;162;10.87;29;9;3;5
5;90;45.95;20;5;6;5
4;82;67.6;1;11;3;2
5;1717;47.13;18;0;6;4
3;591;74.53;16;6;3;4
2;1731;66.21;5;6;0;3
3;198;6.99;27;0;6;1
1;871;0.87;24;0;1;2
3;787;21.72;18;5;2;1
1;158;13.87;19;2;5;3
3;1430;87.03;16;4;9;0
5;811;96.36;29;4;1;3
4;677;9.65;21;11;5;0
3;788;33;13;11;6;4
2;1705;31.47;7;2;6;1
5;837;15.29;26;5;10;1
6;271;87.63;4;7;4;5
3;239;7.7;12;5;5;0
2;1190;5.68;24;5;0;2
5;897;61.32;17;3;2;3
3;316;45.04;8;4;2;1
1;426;26.31;10;7;8;0
3;291;74.47;28;0;9;3
5;1464;82.55;24;2;0;1
5;24;68.86;5;8;4;0
2;566;98.01;14;8;6;0
6;1504;11.06;10;5;7;0
4;494;47.4;2;4;3;3
1;257;31.95;13;0;4;4
6;667;98.47;13;2;10;3
2;240;10.14;18;4;0;4
5;245;42.53;26;1;2;4
3;937;36.6;9;6;1;3
3;889;52.46;26;7;5;4
4;447;6.93;6;1;7;2
4;1375;0.41;7;8;8;1
6;1394;26.79;11;2;4;0
5;281;8.52;16;2;10;0
6;319;92.95;26;4;5;3
5;676;81.37;21;2;3;5
4;1620;48.11;16;0;4;4
3;478;17.98;26;3;10;0
6;936;28.84;30;2;5;3
2;1759;56.24;17;5;0;0
6;348;4.84;12;8;0;2
6;1458;96.25;14;0;4;5
2;1214;44.85;12;8;7;5
6;640;47.27;5;7;4;3
2;652;32.84;15;2;4;0
1;447;71.18;2;11;2;4
5;1366;34.57;9;4;10;0
6;1055;80.12;16;5;4;3
1;1309;33.4;10;7;9;0
3;1221;76.5;17;5;8;2
3;108;37.2;1;10;3;4
6;29;86.36;28;3;10;2
6;894;33.84;14;4;10;2
4;579;2.84;25;10;2;0
6;1325;64.92;27;0;9;3
5;1072;73.5;15;1;7;0
5;966;20.31;4;11;2;4
3;1071;6.9;7;8;3;5
4;137;40.12;15;10;3;4
4;740;38.2;14;6;1;4
5;1425;15.8;14;7;3;5
5;96;13.81;2;11;9;1
2;140;24.89;9;6;3;5
3;747;39.86;3;7;1;5
4;1202;93.74;15;11;0;3
5;343;21.86;19;1;5;0
5;1238;96.27;12;4;3;1
4;27;69.23;27;6;1;4
6;1429;96.85;16;3;8;2
3;1626;96.83;1;6;1;0
3;976;67.88;23;7;5;4
6;676;47.98;24;1;4;3
4;1190;10.7;28;7;6;5
5;99;16.83;17;11;7;2
3;1644;13.35;23;6;8;2
4;1241;91.23;15;6;8;4
4;719;72.67;26;7;10;1
1;1833;65.15;14;0;0;2
1;218;97.28;25;4;8;4
4;253;70.06;20;9;4;1
6;17;66.68;27;6;1;3
3;355;17.48;1;0;2;1
5;907;52.37;14;2;6;0
5;1464;87.69;5;6;0;4
5;149;5.98;23;10;3;2
1;871;57.42;19;5;8;2
6;490;85.97;26;7;10;5
1;91;9.89;13;9;6;0
2;1599;37.96;19;7;8;2
4;1328;0.71;7;1;4;0
1;1268;68.78;23;6;3;1
2;1557;66.09;20;11;8;3
3;759;36.69;3;2;3;2
3;574;86.46;16;2;7;4
4;225;84.37;17;9;7;1
5;560;17.39;17;3;3;3
2;621;63.73;22;11;0;3
4;309;33.68;27;1;0;5
6;1548;25.63;9;6;5;0
4;463;16.66;5;1;1;0
4;1113;34.93;2;2;8;0
2;1008;35.12;15;1;8;4
5;1285;72.72;15;8;5;2
5;1285;29.8;3;7;1;5
2;381;18.26;3;11;3;3
4;513;89.01;28;5;8;2
2;1188;85.3;14;1;0;4
3;1287;84.75;12;11;2;5
1;1793;3.51;18;4;8;1
3;411;40.21;1;1;0;2
1;663;4.3;14;10;2;2
3;1;40.73;24;9;6;1
6;383;44.16;10;11;2;4
5;228;22.7;20;9;8;2
2;930;4.86;27;1;3;2
3;1241;52.08;5;5;0;4
6;201;50.35;24;9;1;3
6;286;45.55;9;1;4;1
5;1356;12.83;24;5;5;2
4;1795;13.45;1;0;4;1
6;1492;13.08;21;5;7;2
6;668;36.32;5;4;1;5
2;944;76.38;14;6;3;0
4;990;73.39;30;0;6;4
5;1144;53.01;18;11;8;2
6;605;6.28;23;6;5;2
5;1294;73.71;27;0;3;4
4;684;3.31;30;1;2;1
5;359;20.47;25;9;7;1
2;186;45.71;29;11;1;0
3;1862;79.12;2;7;8;2
1;1589;66.8;25;1;10;1
6;840;20.29;7;8;8;1
1;376;29.66;10;1;7;3
5;1548;48.15;30;9;0;4
4;1477;87.85;19;9;4;2
5;781;29.94;24;11;4;3
4;1218;20.23;26;7;10;0
5;194;99.15;10;6;6;0
3;257;34.34;18;5;10;4
4;1227;83.92;11;11;0;0
5;1367;32.67;26;8;10;1
5;821;100.29;23;7;0;0
5;1607;91.83;27;10;10;5
2;1250;72.18;9;1;10;2
2;1191;21.94;1;6;6;0
2;1492;88.53;4;9;8;5
1;253;83.32;26;0;6;1
6;1578;12.23;17;4;2;5
3;1560;55.96;30;0;8;2
1;688;4.95;28;3;8;4
2;1048;10.71;3;3;1;4
4;486;6.96;11;6;3;0
5;1357;95.7;12;7;2;3
1;1547;35.71;10;0;8;3
2;217;57.15;24;6;5;4
5;237;43.71;13;10;2;4
1;208;34.84;13;7;7;2
6;450;91.88;4;2;4;1
1;1089;71.29;26;1;3;4
6;444;4.99;16;8;6;5
2;261;14.05;8;11;7;2
6;512;77;30;7;7;4
6;128;84.18;14;1;8;2
3;1442;39.75;7;8;10;4
6;20;31.88;20;3;4;1
1;498;97.64;8;7;0;0
6;823;3.28;27;4;7;5
2;322;22.39;2;8;0;5
6;229;81.93;13;6;2;1
4;452;14.5;4;11;7;1
1;1092;87.41;17;10;4;2
1;1725;63.55;27;9;2;2
5;362;102.25;24;6;7;4
1;1681;88.94;11;8;10;0
1;1413;51.28;27;2;1;0
5;780;21.14;18;6;1;2
3;922;18.28;20;7;10;2
2;1687;37.31;28;8;5;4
2;795;66.56;2;2;2;5
4;497;44.67;12;8;3;4
2;1125;40;13;2;0;4
4;1591;5.93;17;2;9;5
2;100;15.73;20;3;2;0
2;535;73.04;24;9;5;0
4;188;0.93;2;9;4;3
1;1496;25.16;19;10;9;4
5;1216;58.45;23;6;7;4
1;857;41.87;9;2;1;2
5;1507;91.08;18;9;9;3
5;1617;65.33;3;1;8;2
3;1165;79.58;5;8;6;4
4;105;48.36;24;11;3;0
6;1102;88.75;28;1;6;4
4;622;68.05;8;6;4;3
1;161;8.05;7;6;8;4
6;1678;62.92;10;8;3;1
5;406;101.67;22;5;1;5
1;746;95.23;26;6;3;0
1;1348;38.77;18;2;4;0
6;1559;15.87;16;0;1;3
6;1033;12.91;20;11;5;4
4;267;20.32;29;6;7;2
1;1069;54.47;9;0;2;5
6;622;11.44;17;6;1;0
5;1298;70.39;12;9;0;2
5;337;70.52;21;11;6;2
6;1854;82.24;27;2;8;1
4;1563;46.11;26;2;5;2
1;594;60.99;18;2;1;1
2;1126;0.66;15;5;2;2
2;678;16.61;21;9;7;0
2;1528;30.72;24;7;3;0
1;1527;26.79;12;10;6;3
3;3;100.1;10;1;2;0
4;350;26.46;11;10;7;0
5;675;20.36;22;2;2;3
4;733;35.96;10;0;0;5
4;865;17.14;19;11;2;3
6;1357;38.36;27;7;4;1
1;1068;12.44;23;11;10;0
3;388;37.08;18;9;2;2
2;1195;9.77;4;2;1;1
4;1592;88.45;18;2;2;3
6;1647;2.22;8;4;2;4
4;664;4.31;7;3;8;3
2;813;84.29;18;11;6;2
5;148;45.56;5;5;10;1
3;663;93.23;4;5;5;1
3;14;47.56;12;2;9;3
2;1852;37.75;26;4;6;3
1;1290;19.73;26;3;5;1
2;1596;26.26;20;5;7;1
6;256;19.73;9;4;6;2
1;1516;87.68;23;7;6;1
1;1311;3.13;2;5;4;3
4;464;28.62;25;0;4;4
4;123;84.64;14;11;10;4
2;757;78.76;1;10;7;3
6;323;68.88;17;9;7;2
3;985;39.86;6;0;7;5
4;1230;20.64;2;1;4;4
1;937;66.58;20;2;9;5
1;1461;70.37;7;8;8;3
2;1267;78.38;1;8;7;5
3;1064;96.84;20;9;9;0
5;245;27.82;4;7;8;5
6;339;4.82;23;1;5;5
5;1417;88.14;22;0;9;4
3;224;10.98;28;2;8;3
4;48;97.8;24;9;7;4
1;57;72.23;11;5;9;0
3;1143;86.92;7;7;10;2
3;1014;77.84;9;6;10;4
6;1542;69.32;4;8;4;1
1;1065;75.62;15;11;8;3
3;743;7.95;10;6;9;5
6;777;43.61;6;3;4;1
6;1253;27.03;6;10;10;1
6;304;6.74;5;11;3;3
4;1124;16.59;28;9;8;3
6;938;77;30;7;7;5
1;351;0.01;27;5;9;5
5;1358;44.63;2;2;6;5
5;1837;35.82;29;3;5;3
5;19;22.73;17;3;3;4
4;1088;15.48;5;3;10;2
5;338;79.58;10;7;2;0
4;909;76.02;19;3;3;1
4;671;46.62;22;5;6;1
2;1244;78.22;19;0;6;5
5;1645;30.91;16;2;1;3
6;195;19.37;13;8;5;1
1;943;1.69;24;7;4;3
2;140;1.3;16;2;7;0
4;1762;58.14;19;9;8;3
6;1547;6.64;26;3;2;5
6;1210;18.66;19;5;1;5
2;1671;54.3;8;3;5;5
5;990;38.08;18;4;8;0
6;467;65.29;19;3;1;1
2;776;66.39;20;4;5;0
1;1479;31.67;20;6;2;1
1;79;24.05;11;3;7;3
5;1507;79.3;14;9;2;1
5;1062;38.85;24;6;6;2
1;60;35.98;25;1;8;2
6;1189;37.66;5;4;8;3
1;153;75.33;10;2;2;3
5;1805;71.05;16;2;4;5
5;713;34.06;1;9;7;0
4;1619;9.09;26;7;0;0
4;710;61.63;27;11;8;0
3;1527;70.85;10;0;7;0
1;299;80.86;1;9;5;2
1;423;89.33;14;8;8;1
1;755;86.34;17;11;2;1
4;350;10.01;23;9;9;2
3;1260;98.76;6;11;10;3
3;675;45.83;28;1;4;5
4;1826;7.28;18;8;0;0
5;1536;30.31;6;10;5;4
3;798;24.48;3;6;5;0
2;692;63.75;27;10;8;0
6;367;64.95;8;8;6;3
5;1343;18.39;12;2;4;2
1;1499;29.97;2;9;1;0
3;710;71.4;3;5;0;2
5;1797;37.73;9;5;4;4
4;413;24.34;28;7;10;4
1;916;86.48;14;10;10;4
1;1784;59.67;1;11;1;4
4;658;92.47;15;2;8;3
2;196;51.53;16;0;10;4
2;652;94.09;1;1;5;1
5;256;0.6;27;7;1;5
6;1472;66.13;4;10;0;5
3;428;56.75;23;8;3;0
3;871;18.01;21;4;5;3
4;381;75.63;18;1;7;3
4;603;14.41;2;7;1;1
3;1256;35.72;6;2;5;2
4;1282;14.17;28;8;1;4
4;754;89.61;16;0;5;2
3;1348;78.37;20;11;7;2
2;130;39.99;10;7;8;2
5;1184;87.93;4;8;6;0
2;571;85.85;28;7;0;3
2;1369;78.95;30;8;8;2
2;888;5.38;17;5;10;0
1;875;34.55;22;7;2;2
2;193;15.82;23;2;6;0
6;621;9.11;2;5;10;3
2;1730;33.93;14;7;4;2
2;1240;82.59;20;8;10;3
1;708;95.81;23;11;4;0
3;839;95.89;3;2;2;2
5;533;56.12;26;1;0;0
6;1404;21.08;19;8;3;5
3;1070;65.52;28;4;6;3
4;1739;67.78;14;3;10;0
3;15;54.12;6;1;1;5
3;684;65.8;26;1;6;0
3;1112;52.28;5;7;1;3
5;740;1.04;17;9;4;4
6;981;20.05;30;8;5;1
3;114;66.25;1;7;9;2
6;719;80.66;18;9;5;5
2;1482;31.3;3;7;1;5
5;1668;24.41;11;6;8;5
2;592;8.18;8;0;5;1
4;913;82.34;3;0;10;1
1;303;44.3;13;1;4;5
6;1284;22.58;30;7;10;1
3;1702;54.12;20;0;4;1
1;1611;19.17;2;6;7;4
3;691;72.98;6;9;0;0
5;1721;22.92;10;6;4;2
6;1104;79.1;25;3;7;2
2;774;23.5;12;6;5;3
3;617;9.99;26;3;3;0
1;1009;1.39;4;9;6;0
1;223;103.88;28;2;2;5
1;839;85.8;24;9;6;5
1;1723;45.97;18;3;10;1
2;645;78.01;11;6;0;0
3;150;99.54;14;6;7;5
4;256;54.64;30;2;7;3
4;802;93.86;8;0;0;2
6;116;70.08;4;4;1;4
6;1327;67.34;25;5;7;2
4;200;82.72;22;9;1;3
3;1326;96.16;18;5;5;2
2;676;1.63;16;4;6;3
2;239;18.92;26;3;0;2
6;1540;85.93;19;2;6;1
6;1182;88.19;13;0;5;4
2;879;5.18;24;10;1;2
6;673;76.65;29;0;10;3
4;1685;100.1;7;5;8;0
1;41;14.81;30;1;1;4
3;1395;12.54;8;7;9;4
4;674;58.21;21;1;3;0
1;818;19.76;8;0;4;5
4;1363;41.52;2;4;4;5
1;119;89.86;13;2;5;3
6;1600;18.32;20;3;10;3
1;1344;8.46;30;7;8;3
1;514;19.94;21;6;5;2
6;1566;65.9;19;2;0;1
1;184;94.84;14;0;1;3
4;231;36.31;24;0;6;0
6;1579;2.93;26;8;8;2
5;499;45.22;12;1;3;2
1;1459;44.52;9;11;5;4
5;376;43.79;17;0;9;4
6;86;20.01;18;4;7;5
2;756;83.84;15;3;3;4
3;529;6.99;9;1;7;4
3;159;45.74;3;8;10;5
2;1612;40.91;21;10;10;1
5;1689;27.81;18;11;10;1
2;494;77.12;1;11;10;4
1;1553;45.6;7;3;7;1
3;577;26.25;6;11;0;0
4;1301;17.61;10;2;9;5
5;383;88.91;20;4;2;2
4;1654;68.68;9;1;8;4
1;1842;14.29;22;2;0;4
1;82;22.81;2;2;4;3
3;676;35.02;26;11;8;4
1;1078;1.61;5;11;3;5
4;1495;47.59;12;3;10;3
5;1067;28.16;3;9;2;4
1;1662;72.79;28;11;1;2
4;828;7.86;15;10;2;1
1;100;52.08;1;1;2;5
2;126;38.44;7;11;6;3
4;570;33.03;19;9;2;5
4;1287;71.95;7;8;2;0
2;331;65.11;29;4;1;4
5;1272;47.55;8;9;4;4
3;1748;8.19;29;8;8;1
6;113;66.58;9;2;5;3
2;617;19.28;28;7;6;2
5;1094;49.71;25;2;3;0
2;388;86.77;20;6;10;0
4;3;98.64;10;11;5;0
4;300;61.19;5;5;1;1
6;248;52.46;15;11;2;5
1;1422;2.68;27;2;9;4
2;1379;73.49;16;4;1;1
6;61;92.85;19;6;10;3
5;871;89.08;25;5;10;0
2;886;49.59;8;8;10;5
5;1634;19.39;15;3;5;0
6;64;57.44;20;0;1;1
2;1682;69.4;23;6;8;2
1;1258;73.74;17;8;7;5
6;800;46.1;1;5;7;4
2;760;80.2;13;0;0;4
1;1607;21.01;27;4;4;3
2;595;19.3;28;0;10;2
3;497;94.24;15;6;6;0
2;532;50.35;5;2;2;1
5;138;98.48;12;11;4;5
5;1472;23.96;10;3;3;0
2;1368;48.1;11;3;4;3
1;1517;18.21;27;10;9;5
3;1594;58.35;19;3;6;2
6;298;1.86;15;11;3;1
1;377;43.12;19;4;0;4
1;1180;48.11;28;6;9;5
3;755;7.93;3;4;5;3
4;1403;0.32;17;7;7;3
6;921;100.52;9;6;2;2
1;300;19.58;21;10;3;1
1;1146;2.65;28;5;3;4
2;165;13.04;30;3;2;5
1;683;12.34;27;5;9;1
4;1110;81.07;23;3;1;2
5;1218;47.67;23;8;9;1
6;294;9.03;17;1;1;2
3;1429;29.52;22;3;8;4
6;1364;11.97;28;8;5;0
6;720;73.9;5;2;8;3
6;65;52.01;6;8;10;0
6;972;22.39;30;6;1;3
3;676;48.85;22;2;0;4
6;1349;76.28;19;3;0;2
3;1091;45.81;17;0;6;2
6;529;9.88;14;9;6;1
3;868;37.2;27;7;8;0
4;1395;82.39;15;11;6;1
5;921;24;20;4;4;4
6;292;20.5;16;0;7;0
4;315;25.32;17;4;8;2
4;1312;36.25;4;5;10;0
3;517;45.72;5;3;0;0
1;1594;74.59;24;0;5;4
1;728;77.52;27;8;7;5
2;1405;6.56;17;1;6;3
2;97;83.46;29;9;6;3
2;675;11.95;2;4;6;3
2;668;11.03;24;4;1;5
3;780;54.44;2;6;8;2
1;1022;27.28;15;7;6;1
4;1483;27;6;2;5;0
5;1184;67.85;29;7;7;2
2;1377;86.18;19;8;7;0
4;1543;24.72;11;2;3;3
4;880;89.44;1;5;2;2
1;533;78.22;18;5;5;1
4;1291;67.04;11;1;10;4
6;1430;48.98;12;7;0;5
1;1625;99.18;6;3;3;1
5;1304;54.33;26;11;6;3
4;682;88.85;26;3;8;2
3;24;63.61;6;7;8;5
2;454;89.6;14;2;9;3
5;763;86.64;27;1;8;1
5;210;84.21;2;2;4;1
5;519;32.12;18;4;6;1
3;1578;73.89;30;4;0;4
4;769;66.86;5;1;5;1
1;1230;76.5;2;2;6;4
2;684;86.26;16;4;9;5
2;213;89.6;8;3;2;2
3;125;89.8;14;8;2;3
3;400;4.29;12;7;8;3
6;926;96.39;15;3;2;4
1;1025;44.78;15;8;6;1
6;1322;41.5;4;11;8;3
3;994;95.32;23;1;10;4
6;413;32.84;15;5;3;0
2;1428;22.76;22;3;10;4
5;611;83.62;12;8;3;5
2;1076;88.95;4;2;2;0
4;2;3.17;22;10;6;4
1;1747;51.21;18;4;3;0
3;1111;36.04;2;4;0;0
6;308;17.68;5;1;8;0
2;485;50.93;3;4;2;1
6;1233;86.91;6;2;5;0
4;374;40.59;2;8;10;2
6;325;45.48;14;1;3;3
6;140;1.44;3;10;2;1
2;886;64.32;14;10;4;1
2;766;99.79;24;7;4;1
2;418;61.28;18;1;9;1
1;1432;83;29;0;0;3
1;509;52.68;28;0;7;3
1;1002;80.86;3;6;5;4
5;658;49.13;3;7;7;3
2;355;11.31;21;3;2;4
4;1386;33.85;12;9;3;0
5;1406;74.49;25;9;5;4
2;1584;72.45;16;3;7;5
5;1184;14.56;26;0;3;4
2;707;40.71;10;4;2;1
2;514;19.65;19;11;0;4
6;598;87.2;1;8;1;3
2;1361;91.92;24;3;8;5
1;1078;80.86;16;11;6;2
4;652;57.34;22;0;5;3
3;1764;4.78;25;4;7;2
5;131;78.4;16;0;6;5
1;1462;73.01;21;2;7;4
6;360;73.53;17;1;7;3
2;1411;3.43;18;5;0;4
5;813;13.88;7;4;3;3
6;1045;36.06;15;9;0;4
4;640;74.41;29;11;0;3
4;1658;89.95;5;5;1;3
3;1860;88.25;15;1;1;5
3;989;51.06;27;8;7;4
4;1651;96.49;27;1;6;2
2;336;61.12;18;10;6;4
2;1278;61.57;23;4;0;4
5;508;36.63;17;4;3;3
1;98;56.23;17;10;8;4
4;1159;19.02;3;1;6;3
3;1434;46.29;28;9;1;3
3;14;17.98;22;6;2;0
5;1411;66.68;26;0;7;3
5;479;38.67;28;9;4;1
5;943;50.58;22;6;0;4
4;1548;5.14;10;1;3;2
4;675;23.98;21;9;0;1
6;946;66.99;18;9;5;2
3;718;78.45;8;9;5;2
6;1321;36.76;7;0;1;3
2;1255;64.7;3;6;2;5
6;133;11.56;17;1;2;1
2;1841;40.9;15;9;3;3
4;540;62.91;21;2;4;4
2;65;15.34;18;0;8;5
4;433;62.17;18;8;0;3
3;72;44.53;30;10;3;4
6;63;99.68;22;9;8;5
2;200;15.02;8;2;5;0
2;166;38.95;8;1;3;1
6;1528;59.09;2;5;9;1
6;1070;3.85;6;9;7;4
5;744;19.08;22;1;3;1
2;863;46.06;28;6;6;0
5;232;25.64;5;11;6;2
6;410;58.38;22;2;6;4
6;1327;36.35;5;3;2;0
6;1505;82.75;25;4;5;5
4;1733;55.04;27;1;9;3
5;1035;9.53;25;9;3;1
2;1617;32.46;6;1;1;1
6;275;92.57;1;1;5;3
6;47;37.52;2;8;2;5
3;247;29.87;18;10;3;4
1;144;2.54;28;8;9;5
2;1274;14.61;26;7;2;4
2;160;47.97;12;3;1;2
2;775;54.72;20;11;6;1
5;1591;74.66;20;1;0;3
1;30;65.53;11;9;2;2
3;1479;45.76;14;4;9;5
6;342;69.3;24;2;4;2
5;1089;35.86;10;3;9;3
1;777;33.36;17;7;3;2
3;321;72.55;9;11;9;3
1;1036;22.29;18;7;1;3
1;1515;28.29;18;9;10;5
3;613;82.16;8;4;9;1
1;1145;18.75;13;9;2;5
2;43;92.41;30;4;2;5
2;164;79.6;22;2;3;0
3;666;20.38;1;9;5;3
2;1599;18.47;27;1;1;3
3;629;90.62;29;0;6;3
6;1380;78.62;3;3;5;0
1;751;10.91;13;8;5;3
3;162;86.49;8;0;10;0
5;564;91.58;27;2;5;5
4;1498;3.26;12;0;1;3
1;1450;35.2;27;4;0;1
1;1755;31.17;3;2;9;2
1;847;62.01;13;6;2;5
6;887;101.19;3;8;1;5
1;29;26.5;25;0;7;5
1;438;34.83;10;3;5;4
3;709;64.6;30;2;0;0
3;435;19.31;12;11;4;0
1;480;29.79;30;9;4;5
5;936;22.26;25;6;7;4
2;1631;40.5;21;11;0;4
1;1303;82.9;3;7;5;3
3;1638;83.71;16;0;9;1
3;1470;92.93;2;8;9;4
5;588;41.78;16;2;5;5
5;582;9.11;25;9;1;4
3;736;46.64;10;11;9;4
6;868;48.93;29;5;2;5
3;1430;46.58;3;8;4;2
2;1030;101.34;3;4;5;5
5;1108;48.87;30;6;8;4
3;1323;65.83;5;8;8;4
4;1040;67.02;1;4;5;1
4;445;50.1;8;2;4;4
2;515;54.08;16;11;6;5
6;1636;90.41;25;6;8;3
6;1667;62.15;22;3;7;2
1;1203;89.29;15;2;6;5
1;1700;9.18;2;5;2;2
1;97;28.84;5;3;4;2
2;67;65.58;8;4;0;5
4;1078;47.24;30;6;6;0
6;1313;91.76;13;6;0;1
6;437;41.21;1;0;1;4
3;1733;22.91;19;0;0;3
1;442;83.14;13;1;3;4
4;1029;64.22;26;0;8;4
3;162;50.8;25;8;0;4
5;165;80.51;10;3;4;0
4;842;25.05;8;7;7;1
1;883;24.02;5;9;2;5
5;1815;66.15;1;2;8;0
1;314;74.7;13;5;9;1
6;1304;100.69;11;10;1;3
6;1768;36.43;26;3;8;4
2;105;1.77;7;7;8;5
2;1673;22.3;13;11;5;3
6;678;43.4;13;3;6;1
4;249;68.83;26;5;10;3
6;1124;88.83;23;8;7;1
5;1474;87.32;2;2;6;4
4;627;43.84;23;4;8;0
6;569;70.68;24;8;10;4
6;253;47.26;9;2;8;2
3;1266;81.14;19;10;5;2
5;180;79.59;6;1;1;2
1;1198;28.22;30;6;3;4
6;608;99.82;23;3;5;4
4;246;67.8;13;9;3;2
1;707;8.76;3;0;3;1
5;1362;101.55;26;9;5;5
3;1695;88.77;13;7;9;0
3;1012;34.4;24;2;6;2
5;1103;37.79;26;0;5;5
2;1802;64.46;15;2;5;5
5;1106;85.86;15;7;6;5
2;1062;10.24;25;9;3;5
1;1321;51;22;6;5;3
2;1058;42.18;13;7;8;2
3;292;41.04;18;1;9;2
3;771;13.84;9;1;0;2
5;99;85.85;29;0;7;5
6;1648;96.31;25;10;0;3
3;762;21.9;30;7;9;4
4;1431;15.7;6;10;7;4
6;1315;60.27;5;8;3;4
3;771;72.42;27;8;8;2
2;1065;0.28;16;6;4;3
6;1175;43.4;30;8;1;3
1;1207;45.36;8;10;8;2
5;1697;21.78;7;3;0;2
1;70;36.7;26;7;1;4
6;1204;32.65;25;4;4;0
3;1245;96.42;5;8;5;3
5;774;34.56;27;11;7;5
2;36;80.3;25;5;8;5
4;1499;70.24;28;4;3;0
6;1353;55.65;14;3;7;3
2;1007;48.17;5;9;1;2
5;1721;62.49;22;7;0;4
4;630;93.53;16;10;4;4
3;1580;9.97;19;6;8;5
5;1136;4.06;30;8;10;0
1;121;102.7;16;6;3;0
6;1652;10.43;11;3;6;1
3;477;31.09;2;11;3;1
4;111;16.39;7;1;0;1
5;1177;86.61;30;8;1;4
2;1883;83.95;10;6;1;4
3;163;20.32;20;2;3;3
5;749;25.62;12;10;3;3
4;997;47.91;24;3;2;4
4;801;51.73;5;6;8;0
3;1140;39.45;25;8;9;1
4;401;88.15;30;4;1;5
2;1736;5.29;9;0;7;0
5;962;92.85;30;9;1;2
5;1420;91.52;20;3;1;0
3;598;47.98;17;4;2;0
5;632;49.07;3;1;10;1
6;518;74.56;24;5;1;3
6;1180;83.92;25;6;3;1
4;1469;82.86;8;2;8;0
3;1146;10.07;7;0;4;0
4;1043;90.84;9;4;2;2
2;144;74.71;22;6;2;5
2;1001;3.71;15;8;10;0
4;1568;61.28;2;10;3;1
1;1257;68.79;3;6;5;0
1;1047;84.35;9;7;6;0
5;237;67.94;22;4;7;5
5;1116;84.27;26;3;4;1
2;1230;71;24;1;1;5
3;1611;24.82;21;3;8;2
5;1204;41.93;7;7;0;2
6;313;77.74;24;6;7;1
5;132;66.52;4;10;2;2
5;1716;63.2;18;5;2;0
4;1042;22.11;29;11;3;4
1;1066;18.1;12;9;4;4
6;1488;11.35;16;8;0;1
4;833;49.09;27;10;7;3
1;317;49.85;29;4;0;3
3;57;80.13;27;1;6;4
4;644;71.69;30;7;5;3
2;450;70.49;2;8;3;3
2;1372;56.18;23;5;7;2
1;1067;32.07;3;2;7;2
1;1119;27.09;1;9;0;3
1;130;32.95;9;4;7;0
2;363;101.24;18;1;8;5
4;139;39.45;20;6;3;2
6;253;56.63;21;0;3;4
2;1387;7.32;24;5;8;4
5;1662;83.1;5;7;9;4
5;408;42.15;30;2;0;3
6;148;76.78;19;2;10;4
5;1049;45.43;16;2;10;2
3;429;48.04;14;4;1;0
2;415;26.96;28;9;1;4
4;1367;18.43;8;11;8;2
2;151;24.75;7;11;2;2
4;581;34.88;22;0;7;2
2;1525;12.85;26;2;6;0
5;428;54.44;30;0;1;0
3;1395;56.15;9;0;10;1
6;1449;65.65;28;9;2;1
6;110;28.25;17;1;4;3
4;841;49.73;1;11;3;4
2;833;96.96;3;4;8;2
2;979;2.47;9;8;5;3
3;947;85.73;18;8;4;3
3;1753;44.78;23;9;3;5
6;1325;97.93;23;2;4;1
1;1429;33.14;27;4;1;0
1;1672;48.31;21;1;5;1
3;595;83.66;4;0;4;5
5;1046;1.89;11;5;1;4
5;567;55.63;17;2;8;0
3;866;99.95;2;9;8;1
5;382;30.94;30;8;2;1
3;419;23.52;14;10;5;1
1;290;43.29;10;11;4;0
4;233;31.6;24;5;6;1
4;1444;50.19;26;6;5;4
3;779;95.31;16;7;10;1
4;580;88.44;22;6;3;4
1;326;93.04;6;7;10;5
6;292;77.03;13;0;8;3
3;1201;5.42;20;9;0;1
2;1396;23.06;1;8;8;5
3;520;38.45;21;0;1;4
5;1605;57.2;1;3;7;1
1;11;102.91;16;11;3;3
4;1202;93.56;28;0;4;5
6;717;50.95;6;4;6;4
1;30;60.66;19;4;1;1
1;1532;15.07;20;10;4;4
6;1352;71.28;7;11;7;3
4;1375;78.94;18;11;6;3
4;415;46;18;3;6;0
4;1121;36.85;9;7;0;0
5;1076;5.52;13;6;8;1
4;774;29.31;27;11;10;1
1;1827;59.03;22;4;9;5
2;19;61.59;27;8;2;0
2;1105;61.96;21;4;0;2
2;299;73.71;9;3;2;1
4;1116;20;21;7;9;3
2;1420;100.21;20;5;7;5
1;670;1.76;28;8;1;4
2;1315;16.52;11;5;4;2
3;1517;22.27;29;8;10;5
6;1440;22.91;29;3;5;4
5;1662;37.98;30;3;1;4
6;1662;11.89;13;4;4;1
2;513;45.29;10;3;9;3
5;1165;15.43;30;11;5;5
1;6;23.78;24;2;4;5
6;1419;73.55;9;5;3;1
3;813;21.98;1;6;5;4
1;1256;53.72;7;3;2;5
2;400;98.61;10;11;5;2
6;1492;71.81;4;6;6;0
6;1421;24.1;15;2;7;3
2;1808;57.81;10;1;3;3
6;1700;22.29;18;8;1;2
